tabela,indice,coluna
album,IFK_AlbumArtistId,ArtistId
album,PRIMARY,AlbumId
artist,PRIMARY,ArtistId
customer,IFK_CustomerSupportRepId,SupportRepId
customer,PRIMARY,CustomerId
employee,IFK_EmployeeReportsTo,ReportsTo
employee,PRIMARY,EmployeeId
genre,PRIMARY,GenreId
invoice,IFK_InvoiceCustomerId,CustomerId
invoice,PRIMARY,InvoiceId
invoiceline,IFK_InvoiceLineInvoiceId,InvoiceId
invoiceline,IFK_InvoiceLineTrackId,TrackId
invoiceline,PRIMARY,InvoiceLineId
mediatype,PRIMARY,MediaTypeId
playlist,PRIMARY,PlaylistId
playlisttrack,IFK_PlaylistTrackPlaylistId,PlaylistId
playlisttrack,IFK_PlaylistTrackTrackId,TrackId
playlisttrack,PRIMARY,PlaylistId
playlisttrack,PRIMARY,TrackId
track,IFK_TrackAlbumId,AlbumId
track,IFK_TrackGenreId,GenreId
track,IFK_TrackMediaTypeId,MediaTypeId
track,PRIMARY,TrackId
